"Reads","TimeStamp","Writes"
"0","21-5-2015 10:39:20","2"
"0","21-5-2015 10:39:00","7"
"0","21-5-2015 10:38:40","10"
"0","21-5-2015 10:38:20","1"
"0","21-5-2015 10:38:00","10"
"0","21-5-2015 10:37:40","18"
"0","21-5-2015 10:37:20","17"
"0","21-5-2015 10:37:00","18"
"0","21-5-2015 10:36:40","20"
"0","21-5-2015 10:36:20","18"
"0","21-5-2015 10:36:00","18"
"0","21-5-2015 10:35:40","17"
"0","21-5-2015 10:35:20","23"
"0","21-5-2015 10:55:00","7"
"0","21-5-2015 10:54:40","9"
"0","21-5-2015 10:54:20","4"
"0","21-5-2015 10:54:00","13"
"0","21-5-2015 10:53:40","8"
"0","21-5-2015 10:53:20","1"
"0","21-5-2015 10:53:00","7"
"0","21-5-2015 10:52:40","8"
"0","21-5-2015 10:52:20","1"
"0","21-5-2015 10:52:00","9"
"0","21-5-2015 10:51:40","8"
"0","21-5-2015 10:51:20","1"
"0","21-5-2015 10:51:00","7"
"0","21-5-2015 10:50:40","8"
"0","21-5-2015 10:50:20","3"
"0","21-5-2015 10:50:00","12"
"0","21-5-2015 10:49:40","9"
"0","21-5-2015 10:49:20","6"
"21","21-5-2015 10:49:00","14"
"0","21-5-2015 10:48:40","9"
"0","21-5-2015 10:48:20","1"
"0","21-5-2015 10:48:00","8"
"0","21-5-2015 10:47:40","8"
"0","21-5-2015 10:47:20","1"
"0","21-5-2015 10:47:00","7"
"0","21-5-2015 10:46:40","9"
"0","21-5-2015 10:46:20","1"
"0","21-5-2015 10:46:00","8"
"0","21-5-2015 10:45:40","10"
"0","21-5-2015 10:45:20","11"
"0","21-5-2015 10:45:00","75"
"1","21-5-2015 10:44:40","9"
"0","21-5-2015 10:44:20","2"
"0","21-5-2015 10:44:00","8"
"0","21-5-2015 10:43:40","9"
"0","21-5-2015 10:43:20","1"
"0","21-5-2015 10:43:00","8"
"0","21-5-2015 10:42:40","8"
"0","21-5-2015 10:42:20","0"
"0","21-5-2015 10:42:00","8"
"0","21-5-2015 10:41:40","8"
"0","21-5-2015 10:41:20","1"
"0","21-5-2015 10:41:00","7"
"0","21-5-2015 10:40:40","9"
"0","21-5-2015 10:40:20","2"
"0","21-5-2015 10:40:00","9"
"0","21-5-2015 10:39:40","16"
"0","21-5-2015 10:39:20","2"
"0","21-5-2015 10:39:00","7"
"0","21-5-2015 10:38:40","10"
"0","21-5-2015 10:38:20","1"
"0","21-5-2015 10:38:00","10"
"0","21-5-2015 10:37:40","18"
"0","21-5-2015 10:37:20","17"
"0","21-5-2015 10:37:00","18"
"0","21-5-2015 10:36:40","20"
"0","21-5-2015 10:36:20","18"
"0","21-5-2015 10:36:00","18"
"0","21-5-2015 10:35:40","17"
"0","21-5-2015 10:35:20","23"
