#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0","21-5-2015 12:30:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678082200000000/"
"0","21-5-2015 12:30:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678082000000000/"
"1","21-5-2015 12:29:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678081800000000/"
"0","21-5-2015 12:29:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678081600000000/"
"2","21-5-2015 12:29:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678081400000000/"
"0","21-5-2015 12:28:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678081200000000/"
"0","21-5-2015 12:28:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678081000000000/"
"0","21-5-2015 12:28:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678080800000000/"
"0","21-5-2015 12:27:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678080600000000/"
"0","21-5-2015 12:27:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678080400000000/"
"0","21-5-2015 12:27:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678080200000000/"
"0","21-5-2015 12:26:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678080000000000/"
"0","21-5-2015 12:26:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678079800000000/"
"0","21-5-2015 12:26:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678079600000000/"
"0","21-5-2015 12:25:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678079400000000/"
"0","21-5-2015 12:25:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678079200000000/"
"0","21-5-2015 12:25:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678079000000000/"
"0","21-5-2015 12:24:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678078800000000/"
"0","21-5-2015 12:24:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678078600000000/"
"0","21-5-2015 12:24:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678078400000000/"
"0","21-5-2015 12:23:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678078200000000/"
"0","21-5-2015 12:23:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678078000000000/"
"0","21-5-2015 12:23:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678077800000000/"
"0","21-5-2015 12:22:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678077600000000/"
"0","21-5-2015 12:22:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678077400000000/"
"0","21-5-2015 12:22:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678077200000000/"
"0","21-5-2015 12:21:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678077000000000/"
"0","21-5-2015 12:21:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678076800000000/"
"0","21-5-2015 12:21:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678076600000000/"
"0","21-5-2015 12:20:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678076400000000/"
"0","21-5-2015 12:20:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678076200000000/"
"0","21-5-2015 12:20:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678076000000000/"
"0","21-5-2015 12:19:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678075800000000/"
"0","21-5-2015 12:19:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678075600000000/"
"0","21-5-2015 12:19:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678075400000000/"
"0","21-5-2015 12:18:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678075200000000/"
"0","21-5-2015 12:18:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678075000000000/"
"0","21-5-2015 12:18:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678074800000000/"
"0","21-5-2015 12:17:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678074600000000/"
"0","21-5-2015 12:17:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678074400000000/"
"0","21-5-2015 12:17:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678074200000000/"
"0","21-5-2015 12:16:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678074000000000/"
"0","21-5-2015 12:16:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678073800000000/"
"0","21-5-2015 12:16:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678073600000000/"
"0","21-5-2015 12:15:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678073400000000/"
"0","21-5-2015 12:15:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","DS2WebB0","VirtualMachine-vm-781","20","","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-781/LongSample=disk.write.average\\635678073200000000/"
